CO_CODE,CTU_CODE,CTU_ID,COCTU_ID,CTU_NAME,YEAR,NONRES_TYPE_DESC,BLDG_NAME,BLDG_DESC,PERMIT_TYPE,PERMIT_VALUE,SQF,ADDRESS,ZIP_CODE,PIN,PLANNING_AREA
163,00316,02393887,16302393887,Afton,2003,No Projects,None,,,,,,,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2004,Hospitals and Nursing Homes,Afton Care,Senior foster care,N,900000,18000,15890 31st St S,55001,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2005,Office/Warehouse,CKC Contracting,Office/shop,N,1165000,14240,12225 Hudson Rd S,55001,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2006,Religious,Shepherd of the Valley Lutheran Church,Church,A,3200000,18550,14107 Hudson Rd S,55001,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2007,Eating and Drinking Establishments,Joe Farrington,Restaurant,A,120000,2300,3419 St Croix Trail S,55001,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2008,No Projects,No activity,,,,,,,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2009,Schools,Century College,Truck Training Facility,N,17500000,10315,14386 Hudson Rd S,55001,040282021,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2010,No Projects,,,,,,,,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2011,No Projects,,,,,,,,,Rural Communities: Diversified Rural Communities
163,00316,02393887,16302393887,Afton,2012,No Projects,,,,,,,,,Rural Communities: Diversified Rural Communities
003,01486,02393954,00302393954,Andover,2003,Office,Molly Professional,Office center #2,N,1118375,22928,13750 Crosstown Dr,55304,333224130005,Developing Communities
003,01486,02393954,00302393954,Andover,2003,Religious,Constance Free Church,Church addition,A,2603000,81880,16150 Crosstown Blvd,55304,143224140001,Developing Communities
003,01486,02393954,00302393954,Andover,2003,Retail,Fairbanks Property,Retail strip mall,N,679000,12892,15418 Eagle St NW,55304,233224230076,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Arts Entertainment and Recreation,Andover YMCA Center,Community center,N,10859640,130692,15200 Hanson Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Government Office,City of Andover,Fire station,N,754230,10000,15929 Crosstown Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Office,To West Commercial,Office,N,155300,5765,1891 Station Parkway,55304,343224420023,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Retail,Fairbanks Property,Retail-Phase II strip mall,N,1154280,24164,1574 154th Ave NW,55304,233224230073,Developing Communities
